MONTH	BOROUGH	COMMUNITYDISTRICT	REFUSETONSCOLLECTED	PAPERTONSCOLLECTED	MGPTONSCOLLECTED	BOROUGH_ID
2014 / 07	Brooklyn	4	3430.37	212.67	264.03	3
2014 / 07	Bronx	3	1964.93	129.53	126.36	2
2014 / 07	Brooklyn	6	2294.57	535.2	373.4	3
2014 / 07	Staten Island	2	4750.21	611.8	541.51	5
2014 / 07	Bronx	5	3713.38	189.82	258.94	2
2014 / 07	Queens	11	3292	535.55	387.37	4
2014 / 07	Brooklyn	12	5326.39	567.76	328.45	3
2014 / 07	Manhattan	9	2563.04	244.79	201.66	1
2014 / 07	Brooklyn	16	2150.61	100.85	122.22	3
2014 / 07	Queens	3	5314.28	406.01	391.38	4
2014 / 08	Staten Island	3	5525.94	743.99	643.01	5
2014 / 08	Bronx	1	1890.07	89.65	98.87	2
2014 / 08	Brooklyn	6	2057.98	522.43	345.5	3
2014 / 08	Queens	5	4718.56	623.57	551.86	4
2014 / 08	Manhattan	7	4722.18	910.38	597.07	1
2014 / 08	Brooklyn	11	4855.59	622.69	417.42	3
2014 / 08	Manhattan	9	2419.1	285.5	216.82	1
2014 / 08	Queens	7	6628.54	823.34	567.3	4
2014 / 08	Bronx	10	2445.81	311.95	300.26	2
2014 / 08	Brooklyn	9	3025.22	224.26	183.1	3
2014 / 08	Brooklyn	14	4693.38	398.57	285.36	3
2014 / 08	Brooklyn	13	2205.18	158.24	152.16	3
2014 / 08	Bronx	4	4118.33	195.91	227.85	2
2014 / 08	Bronx	6	2106.3	101.71	127.92	2
2014 / 08	Staten Island	2	4145.21	526.31	457.04	5
2014 / 08	Queens	9	4054.29	417.5	387.74	4
2014 / 08	Manhattan	3	2955.95	311.16	255.11	1
2014 / 08	Queens	1	4058.24	531.39	482.7	4
2014 / 08	Queens	13	5712.56	530.1	608.39	4
2014 / 08	Brooklyn	3	3947.99	249.68	222.8	3
2014 / 08	Manhattan	6	2786.02	482.69	349.21	1
2014 / 08	Bronx	3	1786.52	99.27	105.86	2
2014 / 08	Staten Island	1	5093.81	578.67	578.23	5
2014 / 08	Bronx	8	2308.37	312.26	264.04	2
2014 / 08	Manhattan	5	1226.94	214.54	136.02	1
2014 / 08	Bronx	5	3431.87	187.33	252.98	2
2014 / 08	Manhattan	12	4862.75	407.96	408.31	1
2014 / 08	Manhattan	2	1880.64	346.41	246.73	1
2014 / 08	Bronx	12	3902.13	367.4	441.29	2
2014 / 08	Brooklyn	7	3279.8	399.13	326.44	3
2014 / 08	Brooklyn	10	3170.51	500.36	338.95	3
2014 / 08	Manhattan	8	4796.07	963.56	603.66	1
2014 / 08	Manhattan	1	1208.04	319.9	184.95	1
2014 / 08	Bronx	2	1511.43	83.55	105.47	2
2014 / 08	Brooklyn	17	4474.24	313.05	355.58	3
2014 / 08	Queens	8	3720.33	469.5	312.76	4
2014 / 08	Brooklyn	15	4218.41	527.52	362.26	3
2014 / 08	Brooklyn	2	2290.47	374.93	276.4	3
2014 / 08	Brooklyn	16	2011.34	102.17	117.3	3
2014 / 08	Manhattan	11	2116.76	180.65	143.7	1
2014 / 08	Brooklyn	18	5587.93	556.5	477.88	3
2014 / 08	Queens	6	2814.16	421.95	270.7	4
2014 / 08	Bronx	11	2982.66	286.25	263.83	2
2014 / 08	Brooklyn	8	2692.54	219.09	194.33	3
2014 / 08	Manhattan	10	2769.91	219.03	175.5	1
2014 / 08	Manhattan	4	2203.35	408.47	343.11	1
2014 / 08	Queens	2	2822.7	383.01	278.25	4
2014 / 08	Brooklyn	1	4259.51	442.97	346.96	3
2014 / 08	Queens	11	3016.28	489.79	335.09	4
2014 / 08	Brooklyn	4	3157.03	200.08	244.24	3
2014 / 08	Queens	14	3399.45	226.11	185.69	4
2014 / 08	Bronx	7	3552.22	231.18	306.45	2
2014 / 08	Brooklyn	5	4462.57	236.63	288.35	3
2014 / 08	Bronx	9	3786.75	187.1	253.11	2
2014 / 08	Queens	4	4286.51	334.44	279.64	4
2014 / 08	Queens	3	4854.09	377.29	351.5	4
2014 / 08	Queens	10	3899.81	374.34	345.57	4
2014 / 08	Queens	12	6923.28	479.52	616.93	4
2014 / 08	Brooklyn	12	4888.11	532.39	302.2	3
2014 / 09	Queens	10	3857.48	380.23	348.23	4
2014 / 09	Bronx	7	3629.29	238.39	306.12	2
2014 / 09	Brooklyn	17	4385.79	306.41	349.75	3
2014 / 09	Queens	5	4784.57	630.29	549.14	4
2014 / 09	Bronx	12	3835.04	350.44	427.34	2
2014 / 09	Bronx	2	1514.95	71.35	94.5	2
2014 / 09	Bronx	3	1808.89	109.9	111.79	2
2014 / 09	Bronx	8	2386.91	342.65	291.63	2
2014 / 09	Bronx	10	2493.67	312.76	286.39	2
2014 / 09	Brooklyn	14	5020.23	467.93	299.76	3
2014 / 09	Manhattan	12	5051.32	435.93	408.98	1
2014 / 09	Brooklyn	4	3157.94	195.84	238.69	3
2014 / 09	Brooklyn	13	2197.92	159.98	150.85	3
2014 / 09	Queens	9	4040.02	427.68	385.56	4
2014 / 09	Manhattan	9	2517.08	263.13	195.65	1
2014 / 09	Bronx	1	1916.37	108.07	109.37	2
2014 / 09	Bronx	6	2131.22	114.9	143.51	2
2014 / 09	Staten Island	2	4262.39	540.41	454.47	5
2014 / 09	Brooklyn	15	4571.29	596.51	389.85	3
2014 / 09	Manhattan	10	2804.51	231.36	180.28	1
2014 / 09	Queens	13	5438.24	510.65	573.33	4
2014 / 09	Brooklyn	8	2720.42	248.9	222.92	3
2014 / 09	Manhattan	6	2954.79	476.98	334.26	1
2014 / 09	Manhattan	5	1313.04	256.09	155.5	1
2014 / 09	Manhattan	1	1337.35	345.28	189.28	1
2014 / 09	Bronx	5	3518.76	186.34	252.75	2
2014 / 09	Manhattan	8	5478.29	1132.26	645.03	1
2014 / 09	Queens	1	4126.36	556.33	502.17	4
2014 / 09	Queens	2	2849.88	393.14	285.98	4
2014 / 09	Brooklyn	12	6302.57	715.05	353.75	3
2014 / 09	Brooklyn	10	3324.67	529.58	356.12	3
2014 / 09	Brooklyn	1	5177.4	499.95	365.74	3
2014 / 09	Manhattan	11	2213.2	193.08	145.08	1
2014 / 09	Manhattan	2	2031.92	429.33	282.99	1
2014 / 09	Brooklyn	9	3146.66	223.29	169.35	3
2014 / 09	Brooklyn	5	4373.86	232.04	290.76	3
2014 / 09	Staten Island	1	5188.18	597.05	569.55	5
2014 / 09	Queens	14	3313.86	220.86	164.56	4
2014 / 09	Queens	8	3818.14	474.9	307.12	4
2014 / 09	Queens	7	6666	822.47	559.82	4
2014 / 09	Queens	12	6649.18	456.43	578.75	4
2014 / 09	Manhattan	4	2320.86	420.28	302.43	1
2014 / 09	Brooklyn	7	3279.09	429.14	338.98	3
2014 / 09	Brooklyn	18	5529.35	567.5	465.78	3
2014 / 09	Brooklyn	3	4066.46	286.16	240.58	3
2014 / 09	Manhattan	7	5274.61	1068.15	638.76	1
2014 / 09	Brooklyn	2	2473.36	418.92	280.32	3
2014 / 09	Queens	6	2848.91	414.07	271.65	4
2014 / 09	Queens	3	4852.8	353.38	337.17	4
2014 / 09	Bronx	11	3031.91	288.97	256.35	2
2014 / 09	Bronx	9	3709.85	177.22	234.97	2
2014 / 09	Queens	11	3054.4	513.37	356.34	4
2014 / 09	Staten Island	3	5564.04	746.78	623.27	5
2014 / 09	Bronx	4	4149.55	198.91	230.93	2
2014 / 09	Queens	4	4246.14	328.3	263.28	4
2014 / 09	Brooklyn	11	4994.98	615.32	412.6	3
2014 / 09	Manhattan	3	2999.48	297.81	241.06	1
2014 / 09	Brooklyn	6	2192.85	547.24	354.85	3
2014 / 09	Brooklyn	16	1970.5	89.33	99.97	3
2014 / 10	Queens	12	6468.5	482.03	600.81	4
2014 / 10	Brooklyn	17	4211.66	312.55	337.82	3
2014 / 10	Manhattan	8	5676.3	1235.01	748.62	1
2014 / 10	Bronx	10	2457.55	329.3	301.66	2
2014 / 10	Queens	9	4118.61	430.64	396.34	4
2014 / 10	Bronx	3	1819.19	99.94	110.76	2
2014 / 10	Manhattan	7	5366.57	1182.75	698.72	1
2014 / 10	Manhattan	9	2518.64	288.75	228.88	1
2014 / 10	Manhattan	5	1347.39	270.52	167.95	1
2014 / 10	Staten Island	3	5715.76	867.75	611.09	5
2014 / 10	Brooklyn	10	3331.75	555.37	364.85	3
2014 / 10	Queens	2	2895.81	403.7	295.26	4
2014 / 10	Bronx	8	2407.93	337.79	285.47	2
2014 / 10	Queens	7	6683.48	854.24	568.75	4
2014 / 10	Bronx	12	3735.4	360.56	426.21	2
2014 / 10	Manhattan	4	2393.76	506.02	382.52	1
2014 / 10	Queens	6	2852.75	445.43	293.31	4
2014 / 10	Brooklyn	4	3049.97	199.83	246.99	3
2014 / 10	Brooklyn	9	3214.45	252.35	187.87	3
2014 / 10	Manhattan	12	5044.8	472.83	470.8	1
2014 / 10	Manhattan	2	2149.17	464.97	298.97	1
2014 / 10	Queens	3	4897.03	398.5	374.14	4
2014 / 10	Bronx	7	3573.16	244.71	316.06	2
2014 / 10	Brooklyn	18	5473.81	592.93	474.89	3
2014 / 10	Manhattan	6	3017.69	594.58	424.36	1
2014 / 10	Queens	14	3222.79	234.7	178.49	4
2014 / 10	Brooklyn	14	4990.51	455.24	303.57	3
2014 / 10	Queens	1	4220.38	591.81	516.8	4
2014 / 10	Brooklyn	13	2178.9	175.78	156.13	3
2014 / 10	Bronx	1	1880.43	89.69	94.78	2
2014 / 10	Brooklyn	6	2303.01	618.55	388.18	3
2014 / 10	Queens	8	3751.68	492.14	322.13	4
2014 / 10	Bronx	4	4127.97	187.98	213.28	2
2014 / 10	Brooklyn	16	1959.59	110.35	115.79	3
2014 / 10	Bronx	5	3416.54	178.73	245.9	2
2014 / 10	Queens	5	4942.31	686.67	583.26	4
2014 / 10	Bronx	2	1517.46	86	118.68	2
2014 / 10	Queens	4	4267.39	359.35	296.23	4
2014 / 10	Manhattan	1	1332.81	396.75	222.47	1
2014 / 10	Brooklyn	15	4663.69	625.48	413.32	3
2014 / 10	Brooklyn	2	2542.49	457.25	316.29	3
2014 / 10	Manhattan	11	2230.14	206.53	167.55	1
2014 / 10	Bronx	9	3816.38	190.9	253.01	2
2014 / 10	Brooklyn	1	5153.65	549.44	404.06	3
2014 / 10	Manhattan	10	2832.07	259.46	202.27	1
2014 / 10	Brooklyn	8	2739.85	240.17	209.7	3
2014 / 10	Brooklyn	12	6528.52	714.74	405.3	3
2014 / 10	Staten Island	2	4263.31	608.47	455.83	5
2014 / 10	Queens	10	3849.97	391.92	349.25	4
2014 / 10	Queens	11	3131.1	523.9	354.54	4
2014 / 10	Brooklyn	5	4362.51	242.66	287.82	3
2014 / 10	Queens	13	5382.16	537.77	571.4	4
2014 / 10	Brooklyn	3	4006.65	282.57	242.66	3
2014 / 10	Manhattan	3	3073.33	367.02	294.97	1
2014 / 10	Bronx	11	3063.01	294.05	271.38	2
2014 / 10	Brooklyn	7	3358.65	425.01	350.38	3
2014 / 10	Staten Island	1	5139.6	649.41	564.26	5
2014 / 10	Bronx	6	2133.22	108.46	136.87	2
2014 / 10	Brooklyn	11	5000.86	663.99	438.22	3
2014 / 11	Bronx	12	3499.7	322.23	371.3	2
2014 / 11	Queens	4	3860.97	300.49	250.67	4
2014 / 11	Bronx	11	2890.06	271.35	238.84	2
2014 / 11	Queens	10	3506.78	358.47	318.19	4
2014 / 11	Brooklyn	12	5900.29	648.14	322.13	3
2014 / 11	Bronx	5	3238.51	193.7	235.04	2
2014 / 11	Manhattan	2	2015.56	437.69	278.4	1
2014 / 11	Queens	3	4371.7	327.54	316.49	4
2014 / 11	Manhattan	1	1293.26	331.18	192.39	1
2014 / 11	Manhattan	9	2344.4	257.76	202.57	1
2014 / 11	Manhattan	10	2653.45	208.45	162.06	1
2014 / 11	Bronx	10	2378.88	307.41	267.91	2
2014 / 11	Manhattan	7	5047.27	1095.8	643.91	1
2014 / 11	Staten Island	1	4822.98	601.68	470.17	5
2014 / 11	Queens	14	2782.04	210.88	156.68	4
2014 / 11	Brooklyn	13	1958.68	147.84	130.79	3
2014 / 11	Bronx	6	1974.92	102.75	117.75	2
2014 / 11	Queens	7	6294.2	778.78	509.65	4
2014 / 11	Queens	2	2651.18	363.34	272.16	4
2014 / 11	Queens	6	2706.48	394.84	259.4	4
2014 / 11	Manhattan	8	5397.78	1135.49	683.66	1
2014 / 11	Brooklyn	1	4825.88	450.04	330.21	3
2014 / 11	Queens	13	5039.59	474.34	505.82	4
2014 / 11	Brooklyn	7	3082.48	394.8	314.72	3
2014 / 11	Queens	11	3149.98	475.74	317.33	4
2014 / 11	Brooklyn	6	2137.17	554.69	342.61	3
2014 / 11	Queens	5	4541.44	621.96	527.33	4
2014 / 11	Brooklyn	15	4324.71	572.12	356.66	3
2014 / 11	Manhattan	4	2199.1	423.65	313.9	1
2014 / 11	Queens	1	3895.81	542.82	466.05	4
2014 / 11	Bronx	2	1418.61	61.99	75.67	2
2014 / 11	Bronx	4	3933.02	188.77	203.69	2
2014 / 11	Brooklyn	9	2892.3	216.17	153.48	3
2014 / 11	Manhattan	11	2084.31	194.59	155.07	1
2014 / 11	Queens	12	6055.21	430.3	529.57	4
2014 / 11	Brooklyn	14	4683.93	444.42	284.9	3
2014 / 11	Brooklyn	18	5187.16	537.26	414.57	3
2014 / 11	Bronx	3	1697.15	92.32	97.48	2
2014 / 11	Brooklyn	11	4657.72	599.52	387.94	3
2014 / 11	Brooklyn	4	2836.29	180.2	221.39	3
2014 / 11	Manhattan	5	1248.58	234.54	136.64	1
2014 / 11	Bronx	1	1777.3	84.1	89.6	2
2014 / 11	Staten Island	3	5679.23	767.55	513.92	5
2014 / 11	Brooklyn	17	4080.56	291.16	296.74	3
2014 / 11	Manhattan	6	2882.07	490.23	336.92	1
2014 / 11	Brooklyn	3	3660.54	241.94	202.37	3
2014 / 11	Manhattan	3	2829.77	301.43	246.84	1
2014 / 11	Bronx	7	3411.38	225.57	276.4	2
2014 / 11	Brooklyn	16	1838.78	90.79	100.79	3
2014 / 11	Brooklyn	8	2536.53	225.61	186.34	3
2014 / 11	Bronx	9	3629.95	168.89	225.33	2
2014 / 11	Brooklyn	2	2347.43	420.58	278.79	3
2014 / 11	Staten Island	2	4082.31	545.66	381.45	5
2014 / 11	Brooklyn	5	3898.76	209.28	240.08	3
2014 / 11	Queens	9	3784.7	402.26	362.06	4
2014 / 11	Bronx	8	2339.58	309.2	254.83	2
2014 / 11	Manhattan	12	4699.03	398.92	381.96	1
2014 / 11	Brooklyn	10	3078.53	509.02	329.28	3
2014 / 11	Queens	8	3558.41	445.1	286.06	4
2014 / 12	Brooklyn	4	3122.66	236.77	268.46	3
2014 / 12	Brooklyn	14	5240.67	563.55	342.06	3
2014 / 12	Brooklyn	17	4674.74	398.44	400.32	3
2014 / 12	Staten Island	2	4441.62	738.07	499.37	5
2014 / 12	Manhattan	6	3028.84	577.07	389.3	1
2014 / 12	Manhattan	12	5280.25	542.54	497.57	1
2014 / 12	Brooklyn	3	4154.33	345.98	281.02	3
2014 / 12	Brooklyn	12	6435.73	811.49	385.48	3
2014 / 12	Manhattan	11	2358.81	265.32	195.79	1
2014 / 12	Queens	4	4432.82	418.37	302	4
2014 / 12	Queens	6	2893.27	493.1	314.69	4
2014 / 12	Bronx	3	1972.5	149.09	142.04	2
2014 / 12	Brooklyn	13	2159.06	210.41	165.93	3
2014 / 12	Queens	2	3006.84	488.11	333.24	4
2014 / 12	Manhattan	4	2392.44	483.67	356.66	1
2014 / 12	Queens	12	6860.9	592.93	677.56	4
2014 / 12	Brooklyn	18	5686.97	742.26	535.68	3
2014 / 12	Queens	3	5071.98	450.31	410.71	4
2014 / 12	Manhattan	2	2164.53	532.04	347.43	1
2014 / 12	Queens	5	5080.9	849.65	657.63	4
2014 / 12	Brooklyn	11	5130.41	777.29	471	3
2014 / 12	Brooklyn	9	3251.9	269.89	191.26	3
2014 / 12	Bronx	12	4045.11	444.76	480.29	2
2014 / 12	Brooklyn	7	3425.22	506.13	382.24	3
2014 / 12	Bronx	7	3869.95	312.58	350.43	2
2014 / 12	Brooklyn	5	4659.85	320.08	346.23	3
2014 / 12	Brooklyn	10	3547.5	671.09	408.98	3
2014 / 12	Bronx	2	1617.69	87.48	100.77	2
2014 / 12	Manhattan	8	5624.44	1332.52	765.83	1
2014 / 12	Brooklyn	1	5187.09	564.42	409.53	3
2014 / 12	Queens	11	3312.09	644.28	399.99	4
2014 / 12	Queens	14	3196.43	280.72	192.75	4
2014 / 12	Bronx	1	2035.66	123.92	118.82	2
2014 / 12	Brooklyn	15	4624.29	741.34	434.56	3
2014 / 12	Queens	8	3915.03	592.37	360.22	4
2014 / 12	Bronx	5	3665.32	244.8	283.69	2
2014 / 12	Bronx	10	2602.19	420.11	327.68	2
2014 / 12	Bronx	6	2305.22	153.95	167.16	2
2014 / 12	Brooklyn	2	2497.93	517.66	332.38	3
2014 / 12	Manhattan	3	3101.88	372.39	284.78	1
2014 / 12	Manhattan	10	2979.27	285.94	218.05	1
2014 / 12	Queens	1	4370.97	697.04	571.08	4
2014 / 12	Queens	10	3948.28	503.7	413.32	4
2014 / 12	Brooklyn	8	2864.99	314.92	258.41	3
2014 / 12	Bronx	4	4465.14	255.14	263.5	2
2014 / 12	Manhattan	1	1351.71	378.3	213.01	1
2014 / 12	Manhattan	7	5413.77	1256.78	757.76	1
2014 / 12	Queens	9	4225.51	547.55	451.27	4
2014 / 12	Staten Island	1	5480.69	807.12	614.27	5
2014 / 12	Staten Island	3	6208.28	1070.29	676.25	5
2014 / 12	Queens	7	6847.99	992.46	632.04	4
2014 / 12	Brooklyn	16	2046.98	119.64	121.76	3
2014 / 12	Bronx	9	4111.13	231.27	267.81	2
2014 / 12	Brooklyn	6	2361.3	676.91	409.93	3
2014 / 12	Bronx	8	2602.28	423.55	340.13	2
2014 / 12	Manhattan	9	2596.33	289.99	227.19	1
2014 / 12	Queens	13	5580.32	651.45	661.47	4
2014 / 12	Manhattan	5	1350.71	305.32	171.46	1
2014 / 12	Bronx	11	3182.03	363.03	297.91	2
2015 / 01	Brooklyn	17	3668.88	259.53	307.18	3
2015 / 01	Queens	8	3137.49	393.85	282.65	4
2015 / 01	Brooklyn	11	4372.32	573.33	394.74	3
2015 / 01	Manhattan	1	1303.17	378.83	256.06	1
2015 / 01	Bronx	4	3843.84	172.59	209.86	2
2015 / 01	Manhattan	4	2214.69	474.06	390.45	1
2015 / 01	Queens	1	3679.59	490.18	456.7	4
2015 / 01	Brooklyn	8	2361.22	188.4	173.82	3
2015 / 01	Manhattan	7	5008.54	1083.92	753.6	1
2015 / 01	Bronx	8	2260	302.38	286.88	2
2015 / 01	Queens	6	2509.56	376.71	281.38	4
2015 / 01	Brooklyn	14	4333.85	382.3	276.26	3
2015 / 01	Brooklyn	3	3485.03	222.49	215.02	3
2015 / 01	Queens	12	5269.97	400.04	552.96	4
2015 / 01	Brooklyn	18	4463.93	510.35	433.58	3
2015 / 01	Brooklyn	7	3013.91	362.4	306.62	3
2015 / 01	Manhattan	12	4616.38	460.1	487.88	1
2015 / 01	Brooklyn	15	3860.57	504.8	351.97	3
2015 / 01	Staten Island	1	4126.15	592.77	534.14	5
2015 / 01	Queens	14	2691.08	197.8	166.67	4
2015 / 01	Brooklyn	2	2163.15	377.87	284.82	3
2015 / 01	Brooklyn	12	5608.51	612.37	324.57	3
2015 / 01	Manhattan	3	2836.59	319.66	280.42	1
2015 / 01	Bronx	9	3464.64	197.19	272.93	2
2015 / 01	Manhattan	9	2283.25	279.31	245.42	1
2015 / 01	Queens	2	2643	345.4	284.21	4
2015 / 01	Brooklyn	13	1886.73	138.15	137.78	3
2015 / 01	Brooklyn	1	4697.77	462.53	381.02	3
2015 / 01	Queens	4	3892.56	299.23	281.08	4
2015 / 01	Bronx	7	3317.17	238.23	309.74	2
2015 / 01	Bronx	5	3171.81	162.32	232.32	2
2015 / 01	Queens	11	2431.79	411.61	312.06	4
2015 / 01	Manhattan	10	2614.59	244.56	213.25	1
2015 / 01	Brooklyn	5	3584.01	181.51	242.35	3
2015 / 01	Manhattan	5	1229.74	223.15	148.3	1
2015 / 01	Manhattan	6	2853.66	570.62	464.72	1
2015 / 01	Queens	9	3404.75	374.9	371.83	4
2015 / 01	Brooklyn	16	1660.27	86.62	101.07	3
2015 / 01	Brooklyn	10	2959.33	485	336.46	3
2015 / 01	Bronx	1	1782.71	80.18	91.99	2
2015 / 01	Staten Island	2	3347.03	542.34	432.68	5
2015 / 01	Bronx	12	3209.71	325.73	417.59	2
2015 / 01	Brooklyn	9	2697.83	210.45	164.5	3
2015 / 01	Queens	13	3964.58	456	527.99	4
2015 / 01	Queens	3	4275.01	332.56	352.8	4
2015 / 01	Brooklyn	4	2687	173.85	227.14	3
2015 / 01	Staten Island	3	4591.71	761.77	601.45	5
2015 / 01	Manhattan	2	1949.04	371.42	272.37	1
2015 / 01	Bronx	2	1418.93	115.26	138.17	2
2015 / 01	Queens	5	4230.73	586.79	557.58	4
2015 / 01	Manhattan	11	2090.2	156.92	142.06	1
2015 / 01	Bronx	10	2129.26	308.05	298.78	2
2015 / 01	Bronx	11	2731.6	279.08	280.29	2
2015 / 01	Bronx	6	1957.01	75.22	99.55	2
2015 / 01	Manhattan	8	5215.68	1052.14	738.98	1
2015 / 01	Bronx	3	1694.26	76.64	83.25	2
2015 / 01	Queens	10	3067.09	322.82	323.88	4
2015 / 01	Brooklyn	6	2089.31	501.84	377.72	3
2015 / 01	Queens	7	5622.68	713.92	504.07	4
2015 / 02	Brooklyn	5	3398.82	215.91	292.52	3
2015 / 02	Brooklyn	12	5330.97	742.03	377.56	3
2015 / 02	Brooklyn	10	2655.06	537.35	388.72	3
2015 / 02	Manhattan	10	2324.36	211.86	195.49	1
2015 / 02	Manhattan	2	1825.89	437.61	328.18	1
2015 / 02	Brooklyn	16	1535.59	89.27	112.2	3
2015 / 02	Bronx	11	2234.5	230.48	246.37	2
2015 / 02	Staten Island	3	3776.13	710.42	554.24	5
2015 / 02	Bronx	12	2636.5	278.58	393.76	2
2015 / 02	Queens	7	4833.12	753.73	577.6	4
2015 / 02	Bronx	6	1703.98	111.74	146.1	2
2015 / 02	Brooklyn	13	1732.79	166.76	161	3
2015 / 02	Queens	5	3538.64	597.09	642.51	4
2015 / 02	Bronx	7	2913.22	210.59	296.68	2
2015 / 02	Bronx	4	3405.94	178.22	219.31	2
2015 / 02	Brooklyn	1	4276.01	530.64	451.81	3
2015 / 02	Manhattan	4	1950.6	404.53	353.72	1
2015 / 02	Brooklyn	6	1773.9	583.34	417.77	3
2015 / 02	Queens	3	3497.74	342.97	396.61	4
2015 / 02	Queens	11	2018.49	446.27	355.92	4
2015 / 02	Queens	2	2252.24	377.68	333.98	4
2015 / 02	Bronx	1	1554	93.42	105.01	2
2015 / 02	Brooklyn	3	3170.48	257.1	253.44	3
2015 / 02	Queens	14	2213.82	213.82	188.55	4
2015 / 02	Brooklyn	7	2679.62	435.19	381.24	3
2015 / 02	Staten Island	1	3457.25	549.47	499.48	5
2015 / 02	Queens	1	3102.59	543.49	551.99	4
2015 / 02	Queens	13	3377.19	442.54	572.58	4
2015 / 02	Bronx	9	2986.17	157.56	220.17	2
2015 / 02	Manhattan	1	1185.02	320.83	207.18	1
2015 / 02	Bronx	3	1515.79	102.55	123.39	2
2015 / 02	Brooklyn	2	2060.52	453.5	343.6	3
2015 / 02	Manhattan	3	2514.03	316.05	293.31	1
2015 / 02	Queens	9	2910.01	382.06	418.55	4
2015 / 02	Bronx	2	1266.62	69.14	92.87	2
2015 / 02	Manhattan	8	4734.34	1078.63	783.11	1
2015 / 02	Brooklyn	8	2127.21	239.42	241.04	3
2015 / 02	Brooklyn	11	3981.9	652.67	465.76	3
2015 / 02	Queens	12	4528.13	415.66	614.07	4
2015 / 02	Staten Island	2	2816.56	516.82	413.97	5
2015 / 02	Brooklyn	18	3739.58	527.5	483.75	3
2015 / 02	Queens	4	3332.08	322.53	320.82	4
2015 / 02	Queens	6	2142.45	416.78	313.94	4
2015 / 02	Brooklyn	4	2471.38	195.86	271.53	3
2015 / 02	Manhattan	5	1134.07	260.73	170.27	1
2015 / 02	Bronx	8	1898.16	292.86	289.35	2
2015 / 02	Manhattan	12	3960.27	415.54	466.97	1
2015 / 02	Manhattan	9	1951.83	245.18	222.79	1
2015 / 02	Bronx	10	1764.13	275.1	288.02	2
2015 / 02	Brooklyn	9	2357.04	209.12	185.99	3
2015 / 02	Queens	10	2538.28	344.08	387.88	4
2015 / 02	Brooklyn	14	3944.61	461.36	321.1	3
2015 / 02	Brooklyn	15	3594.92	599.3	426.4	3
2015 / 02	Brooklyn	17	3265.43	267.96	340.48	3
2015 / 02	Manhattan	6	2476.89	459.85	379.63	1
2015 / 02	Manhattan	11	1854.27	207.68	193.57	1
2015 / 02	Bronx	5	2864.46	165.31	240.14	2
2015 / 02	Queens	8	2693.77	435.99	349.9	4
2015 / 02	Manhattan	7	4321.6	1019.58	699.12	1
2015 / 03	Queens	8	3424.52	489.07	336.74	4
2015 / 03	Queens	5	4450.96	618.84	594.33	4
2015 / 03	Brooklyn	12	6723.91	818.16	425.4	3
2015 / 03	Brooklyn	18	4971.42	585.68	467.96	3
2015 / 03	Manhattan	11	2234.5	197.57	167.51	1
2015 / 03	Brooklyn	16	1889.71	90.84	99.4	3
2015 / 03	Bronx	5	3426.32	200.62	265.04	2
2015 / 03	Brooklyn	7	3139.75	420.74	352.93	3
2015 / 03	Queens	4	4018.86	316.94	286.79	4
2015 / 03	Manhattan	8	5238.38	1090.58	690.35	1
2015 / 03	Brooklyn	13	2078.97	167.2	155.21	3
2015 / 03	Brooklyn	1	5502.27	516.88	390.92	3
2015 / 03	Bronx	8	2242.45	327.36	312.11	2
2015 / 03	Brooklyn	8	2693.82	263.41	235.41	3
2015 / 03	Brooklyn	9	3165.52	233.42	178.4	3
2015 / 03	Brooklyn	2	2355.39	429.68	302.77	3
2015 / 03	Staten Island	3	4922	775.39	535.98	5
2015 / 03	Brooklyn	17	4185.42	307.61	340.03	3
2015 / 03	Manhattan	12	4908.47	424.8	438.72	1
2015 / 03	Queens	9	3680.31	434.82	417.2	4
2015 / 03	Manhattan	5	1276.07	261.9	156.06	1
2015 / 03	Manhattan	4	2294.97	389.2	316.28	1
2015 / 03	Brooklyn	4	2937.88	193.83	254.75	3
2015 / 03	Staten Island	2	3710.08	575.87	419.2	5
2015 / 03	Brooklyn	3	3917.64	297.92	265.93	3
2015 / 03	Queens	10	3378.5	379.23	382.07	4
2015 / 03	Bronx	3	1835.9	120.09	128.41	2
2015 / 03	Staten Island	1	4705.5	626.48	526.08	5
2015 / 03	Queens	6	2618.3	400.32	296.72	4
2015 / 03	Brooklyn	5	4289	248.12	303.9	3
2015 / 03	Manhattan	6	2839.08	459.45	350.89	1
2015 / 03	Bronx	10	2245.2	317.15	295.99	2
2015 / 03	Brooklyn	15	4386.08	630.68	423.69	3
2015 / 03	Queens	12	5845.47	482.21	609.29	4
2015 / 03	Bronx	9	3678.27	188.23	247.01	2
2015 / 03	Queens	13	4493.16	514.82	585.25	4
2015 / 03	Brooklyn	11	4645.71	614.11	429.22	3
2015 / 03	Queens	1	3945.12	556.82	525.32	4
2015 / 03	Manhattan	9	2373.98	233.88	204.54	1
2015 / 03	Brooklyn	10	3147.03	523.71	368.34	3
2015 / 03	Bronx	4	4076.43	226.6	244.39	2
2015 / 03	Queens	3	4516.69	343.2	379.4	4
2015 / 03	Bronx	6	2144.24	121.35	145.6	2
2015 / 03	Bronx	1	1933.29	110.87	114.9	2
2015 / 03	Manhattan	10	2809.03	235.09	195.89	1
2015 / 03	Queens	2	2743.38	374.56	304.39	4
2015 / 03	Queens	14	2955.64	236.63	179.25	4
