MONTH	BOROUGH	COMMUNITYDISTRICT	REFUSETONSCOLLECTED	PAPERTONSCOLLECTED	MGPTONSCOLLECTED	BOROUGH_ID
2014 / 01	Brooklyn	8	2468.72	240.36	228.1	3
2014 / 01	Manhattan	8	5494.3	1178.47	781.76	1
2014 / 01	Bronx	5	3326.21	171.76	233.24	2
2014 / 01	Bronx	1	1883.9	82.88	94.42	2
2014 / 01	Manhattan	1	1299.19	386.36	228.14	1
2014 / 01	Manhattan	3	2971.85	357.66	307.73	1
2014 / 01	Bronx	4	4044.98	175.97	201.85	2
2014 / 01	Brooklyn	4	2892.5	204.02	264.51	3
2014 / 01	Queens	8	3237.96	485.78	357.42	4
2014 / 01	Queens	7	5734.7	864.12	573.84	4
2014 / 01	Brooklyn	18	4569.48	582.89	510.27	3
2014 / 01	Manhattan	9	2364.08	281.34	227.51	1
2014 / 01	Brooklyn	11	4560.65	691.49	478.45	3
2014 / 01	Staten Island	1	4311.69	675.1	636.73	5
2014 / 01	Brooklyn	14	4530.37	456.12	320.7	3
2014 / 01	Brooklyn	7	3166.47	435.18	365.71	3
2014 / 01	Queens	4	3992.94	376.9	339.17	4
2014 / 01	Bronx	8	2349.99	329.24	295.21	2
2014 / 01	Bronx	6	2018.38	123.09	151.12	2
2014 / 01	Brooklyn	17	3802.35	308.09	358.21	3
2014 / 01	Brooklyn	2	2332.12	467.06	351.47	3
2014 / 01	Queens	1	3869.36	609.54	542.63	4
2014 / 01	Manhattan	4	2349.36	450.74	397.36	1
2014 / 01	Staten Island	2	3562.23	635.92	518.19	5
2014 / 01	Queens	9	3491.86	436.42	436.88	4
2014 / 01	Manhattan	6	2875.01	532.13	441.52	1
2014 / 01	Bronx	9	3543.7	190.35	257.44	2
2014 / 02	Manhattan	8	4874.67	948.38	620.37	1
2014 / 02	Queens	5	3689.5	544.98	514.87	4
2014 / 02	Manhattan	2	1936.81	362.57	262.54	1
2014 / 02	Bronx	10	1927.71	269.68	241.92	2
2014 / 02	Bronx	5	3079.34	148.03	194.76	2
2014 / 02	Queens	6	2228.71	345.95	262.16	4
2014 / 02	Queens	10	2636.5	325.87	329.19	4
2014 / 02	Bronx	9	3062.44	145.62	185.38	2
2014 / 02	Queens	4	3399.87	281.56	257.79	4
2014 / 02	Queens	13	3440.33	405.5	490	4
2014 / 02	Brooklyn	8	2205.73	199.92	188.04	3
2014 / 02	Staten Island	2	2919.44	471.09	379.56	5
2014 / 02	Brooklyn	5	3489.96	197.31	238.65	3
2014 / 02	Bronx	6	1877.87	89.48	112.77	2
2014 / 02	Queens	1	3276.38	462.64	430.26	4
2014 / 02	Manhattan	11	1907.14	159.52	126.58	1
2014 / 02	Brooklyn	14	3994.73	401.62	272.97	3
2014 / 02	Manhattan	6	2588.87	434.82	346.56	1
2014 / 02	Brooklyn	6	1887.57	484.96	336.29	3
2014 / 02	Manhattan	12	4297.54	348.94	355.16	1
2014 / 02	Queens	9	3011.04	351.25	358.37	4
2014 / 02	Brooklyn	13	1777.04	144.44	132.1	3
2014 / 02	Brooklyn	3	3309.57	212.45	194.22	3
2014 / 02	Bronx	1	1717.79	75.02	79.83	2
2014 / 02	Brooklyn	10	2667.76	450.82	316.62	3
2014 / 02	Manhattan	3	2688.54	260.55	223.25	1
2014 / 02	Bronx	7	3258.51	201.18	244.99	2
2014 / 02	Manhattan	7	4530.13	855.69	606.2	1
2014 / 02	Brooklyn	1	4300.81	415.06	338.78	3
2014 / 02	Brooklyn	7	2735.61	360.38	302.91	3
2014 / 02	Bronx	11	2356.3	233.42	214.44	2
2014 / 02	Brooklyn	15	3583.32	525.23	350.44	3
2014 / 02	Brooklyn	4	2628.26	165.78	215.64	3
2014 / 02	Manhattan	5	1176.21	197.32	139.52	1
2014 / 02	Manhattan	9	2104.03	211.63	182.55	1
2014 / 02	Bronx	8	2092.37	266.91	246.11	2
2014 / 02	Manhattan	10	2346.57	176.94	146.02	1
2014 / 02	Queens	12	4691.25	372.39	499.2	4
2014 / 02	Bronx	3	1662.54	81.7	85.14	2
2014 / 02	Queens	14	2322.93	186.43	144.41	4
2014 / 02	Bronx	12	2857.15	269.16	332.77	2
2014 / 02	Queens	3	3714.59	309.04	334.05	4
2014 / 02	Queens	8	2737.24	386.51	289.88	4
2014 / 02	Queens	7	4850.86	643.38	453.55	4
2014 / 02	Brooklyn	11	3876.61	556.87	393.45	3
2014 / 02	Staten Island	3	3896.72	689.83	499.41	5
2014 / 02	Manhattan	1	1227.61	307.66	187.86	1
2014 / 02	Brooklyn	16	1664.41	77.23	89.13	3
2014 / 02	Brooklyn	2	2030.9	356.75	270.12	3
2014 / 02	Queens	11	2091.87	408.96	292.11	4
2014 / 02	Bronx	4	3750.75	166.41	173.97	2
2014 / 02	Brooklyn	9	2499.56	184.64	143.27	3
2014 / 02	Brooklyn	17	3314.74	246.75	286.61	3
