condition: ,media type: ,age: ,status : ,body : ,zodiac :,body art: ,diet: ,body art : 
,,40,,,,,,,
,,41,married,,,,,,
,,45,single,athletic,,,,,
,,,,,,,,,
,,57,,average,,,,,
,,38,,,,,,,
,,,,,,,,,
,,28,single,average,,,,,
,,,,,,,,,
,,33,,,,,,,
,,40,single,,,,,,
,,,,,,,,,
,,34,,,,,,,
,,37,single,athletic,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,50,single,average,,,,Tattoo's,
,,50,single,average,,,,Tattoo's,
,,50,single,average,,,,Tattoo's,
,,43,separated,thin,,,,,
,,,divorced,average,,,,,
,,34,,average,,,,,
,,29,,,,,,,
,,50,,,,,,,
,,36,married,average,,,,,
,,27,single,athletic,,,,,
,,42,,,,,,,
,,31,,athletic,,,,,
,,32,,athletic,,,,,
,,50,,average,,,,,
,,53,,athletic,,,,,
,,51,single,average,,,,,
,,32,single,skinny,,,,,
,,41,single,heavy,,,,,
,,37,,,,,,,
,,,,average,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,28,single,hwp,,,,,
,,42,single,heavy,,,,,
,,37,,,,,,,
,,,,,,,,,
,,21,,big,,,,,
,,46,,,,,,,
,,45,,athletic,,,,,
,,42,single,,,,,,
,,38,single,curvy,,,,,
,,36,,,,,,,
,,48,,heavy,,,,,
,,33,,,,,,,
,,54,,,,,,,
,,35,,average,,,,,
,,33,,,,,,,
,,43,,,,,,,
,,48,single,heavy,,,,,
,,52,separated,average,,,,,
,,42,single,athletic,,,,,
,,27,,,,,,,
,,40,single,average,,,,,
,,39,,skinny,,,,,
,,48,single,heavy,,,,,
,,21,single,curvy,,,,,
,,59,,average,,,,,
,,45,single,average,,,,,
,,30,,curvy,,,,,
,,48,,average,,,,,
,,,,,,,,,
,,46,,,,,,,
,,,,,,,,,
,,48,single,heavy,,,,,
,,40,,athletic,,,,,
,,35,,average,,,,,
,,41,,,,,,,
,,41,,hwp,,,,,
,,,,,,,,,
,,20,,athletic,,,,,
,,46,,,,,,,
,,48,,average,,,,,
,,41,single,heavy,,,,,
,,,,athletic,,,,,
,,38,,,,,,,
,,30,,,,,,,
,,,,,,,,,
,,34,,average,,,,,
,,48,,average,,,,,
,,48,,average,,,,,
,,45,,,,,,,
,,48,,,,,,,
,,51,single,big,,,,,
,,49,,,,,,,
,,,,,,,,,
,,48,single,heavy,,,,,
,,27,,,,,,,
,,35,,average,,,,,
,,43,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,39,,skinny,,,,,
,,40,,skinny,,,,,
,,,,,,,,,
,,,,,,,,,
,,23,,,,,,,
,,19,,,,,,,
,,47,single,average,,,,,
,,,,,,,,,
,,,,,,,,,
,,50,separated,average,,,,,
,,47,,,,,,,
,,50,,,,,,,
,,,,,,,,,
,,54,,average,,,,,
,,52,divorced,average,,,,,
,,36,,athletic,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,athletic,,,,,
,,48,single,heavy,,,,,
,,37,,,,,,,
,,37,,,,,,,
,,36,single,average,,,,,
,,28,,,,,,,
,,56,,curvy,,,,,
,,,,,,,,,
,,26,single,heavy,,,,,
,,,,,,,,,
,,48,single,heavy,,,,,
,,39,,,,,,,
,,51,,big,,,,,
,,38,,,,,,,
,,52,single,,,,,,
,,52,,,,,,,
,,52,single,average,,,,,
,,39,,,,,,,
,,21,,,,,,,
,,38,single,curvy,,,,,
,,57,,curvy,,,,,
,,56,,,,,,,
,,46,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,partnered,curvy,,,,,
,,51,divorced,hwp,,,,,
,,55,,average,,,,,
,,58,,average,,,,,
,,47,,,,,,,
,,46,,,,,,,
,,55,single,average,,,,,
,,55,,fit,,,,,
,,50,single,average,,,,,
,,,,,,,,,
,,,,,,,,,
,,24,,,,,,,
,,45,single,athletic,,,,,
,,,,,,,,,
,,47,,,,,,,
,,,,,,,,,
,,,,athletic,,,,,
,,,,,,,,,
,,49,,average,,,,,
,,23,single,heavy,,,,,
,,,,,,,,,
,,,,,,,,,
,,25,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,married,hwp,,,,,
,,25,single,athletic,,,,,
,,23,,average,,,,,
,,26,,,,,,,
,,,,athletic,,,,,
,,,,,,,,,
,,55,,,,,,,
,,46,,,,,,,
,,46,married,athletic,,,,,
,,55,,,,,,,
,,50,divorced,curvy,,,,,
,,53,,,,,,,
,,48,,,,,,,
,,,,,,,,,
,,54,single,average,,,,,
,,26,,athletic,,,,,
,,32,single,skinny,,,,,
,,46,,,,,,,
,,58,single,average,,,,,
,,54,,,,,,,
,,55,,average,,,,,
,,36,partnered,,,,,,
,,43,,,,,,,
,,56,,fit,,,,,
,,48,,fit,,,,,
,,42,,athletic,,,,,
,,68,separated,average,,,,,
,,,,fit,,,,,
,,,,,,,,,
,,,,,,,,,
,,54,divorced,average,,,,,
,,29,,,,,,,
,,36,,average,,,,,
,,35,married,thin,,,,,
,,52,single,average,,,,,
,,52,single,average,,,,,
,,,,,,,,,
,,37,,hwp,,,,,
,,43,married,athletic,,,,,
,,,single,curvy,,,,,
,,25,,,,,,,
,,53,single,athletic,,,,,
,,,,,,,,,
,,40,married,average,,,,,
,,43,,,,,,,
,,42,single,average,,,,,
,,38,,,,,,,
,,,,thin,,,,,
,,,,,,,,,
,,30,,,,,,,
,,,,thin,,,,,
,,26,,,,,,,
,,26,single,athletic,,,,,
,,54,,average,,,,,
,,48,,athletic,,,,,
,,,,,,,,,
,,55,,,,,,,
,,42,single,average,,,,,
,,46,,,,,,,
,,54,divorced,average,,,,,
,,40,married,average,,,,,
,,,single,fit,,,,,
,,48,single,average,,,,,
,,55,single,average,,,,,
,,42,,,,,,,
,,45,,,,,,,
,,23,single,athletic,,,,,
,,56,married,average,,,,,
,,59,single,heavy,,,,,
,,25,,,,,,,
,,59,single,athletic,,,,,
,,20,,,,,,,
,,43,,,,,,,
,,34,,athletic,,,,,
,,,,,,,,,
,,44,,,,,,,
,,25,single,athletic,,,,,
,,25,,,,,,,
,,20,,skinny,,,,,
,,20,,skinny,,,,,
,,50,separated,average,,,,,
,,43,single,skinny,,,,,
,,,single,athletic,,,,,
,,45,,athletic,,,,,
,,43,,,,,,,
,,42,partnered,curvy,,,,,
,,50,,fit,,,dark chocolate,,
,,25,,,,,,,
,,,,,,,,,
,,57,married,average,,,,,
,,,,,,,,,
,,28,,,,,,,
,,,single,average,,,,,
,,30,,,,,,,
,,27,,athletic,,,,,
,,21,,big,,,,,
,,,,,,,,,
,,,,,,,,,
,,,single,athletic,,,,,
,,,,,,,,,
,,46,single,,,,,,
,,38,separated,athletic,,,,,
,,49,,,,,,,
,,,,,,,,,
,,26,,,,,,,
,,,,,,,,,
,,25,,,,,,,
,,,,,,,,,
,,20,,,,,,,
,,32,,,,,,,
,,21,,,,,,,
,,55,single,average,,,,,
,,45,,,,,,,
,,43,,,,,,,
,,35,,average,,,,,
,,36,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,53,divorced,average,,,,,
,,45,single,average,,,,,
,,,,,,,,,
,,44,,,,,,,
,,46,,fit,,,,,
,,34,single,athletic,,,,,
,,40,,thin,,,,,
,,29,,,,,,,
,,25,,,,,,,
,,23,,average,,,,,
,,35,single,athletic,,,,,
,,27,,,,,,,
,,27,,,,,,,
,,36,,,,,,,
,,55,widowed,athletic,,,,,
,,32,,,,,,,
,,36,,,,,,,
,,27,,,,,,,
,,23,,,,,,,
,,,,,,,,,
,,24,,,,,,,
,,58,,,,,,,
,,58,,,,,,,
,,25,single,athletic,,,,,
,,40,,,,,,,
,,34,,,,,,,
,,40,single,fit,,,,3 tattoos,
,,26,single,curvy,,,,,
,,,,,,,,,
,,,,,,,,,
,,18,,,,,,,
,,55,single,,,,,,
,,20,,,,,,,
,,,,,,,,,
,,33,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,43,,,,,,,
,,,,,,,,,
,,30,,,,,,,
,,35,,,,,,,
,,35,single,athletic,,,,,
,,39,single,average,,,,,
,,,,,,,,,
,,28,,,,,,,
,,29,single,big,,,,,
,,47,,,,,,,
,,25,,,,,,,
,,36,single,athletic,,,,,
,,37,,,,,,,
,,30,single,average,,,,,
,,,,,,,,,
,,,,athletic,,,,,
,,36,,,,,,,
,,27,,,,,,,
,,,,,,,,,
,,29,,,,,,,
,,,,,,,,,
,,55,,,,,,,
,,60,,,,,,,
,,60,divorced,average,,,,,
,,,,,,,,,
,,27,,,,,,,
,,29,,,,,,,
,,,,,,,,,
,,41,married,average,,,,,
,,,,,,,,,
,,43,,curvy,,,,,
,,,single,average,,,,,
,,66,,average,,,,,
,,66,,average,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,33,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,35,,,,,,,
,,99,,average,,,,,
,,30,,,,,,,
,,66,,average,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,27,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
