chicago,"
looking for young boys
into pussy but curious to suck cock
come by and suck this cock the way I teach you

42 bi curious white 6/196

send pix, stats and age
"
chicago,"
are there any serious verbal top feeders looking for a hungry mouth tonite?? im 5'8"" 190# brn/brn 34w 6.5 cut/thick..........total cock cum and piss pig here. i love nasty popper play. i;m looking for hung mature tops who need a hot throat/mouth to unload in. please reply with stats and pics.......and be very clean and safe. im looking to travel. feed this hungry cocksucker. 
"
chicago,"
Bottom hosting at my hotel now and through the night. Walk in my room undress and let me play with your manhood. hit me up for details.
"
chicago,"
Looking here to suck off a nice, well hung married / bi/ beefy MWM. ( may trvl if very close)

Discreet bi here, hwp, 46, 6', gl ddf/clean/neg 

ad up- I'm looking.... put 'CUM ' in header..

NO stats / pics = NO reply. 3 emails & simple- want cock in my mouth!

"
chicago,"
Horny for some fun today.

Only want to have someone get down on his knees to suck me off and stroke you off till you cum. Swallower is a plus. Or we can just mutual jo. 

Like to cuddle and spoon with the right guy. We can hang out for movies or anything if we have the chemistry.

Only into guys under 30 and be in good shape (slim to muscular)

Can host or travel. Down for car fun at discreet place.

Hit me up if you are interested with your age stats and location. Send your face pic first. Put ""Chinese"" as subject to weed out spam and know that you do read the ad. Will reply back if I am interested.
"
chicago,"
Looking for a Gym Rat--Body Builder--Extreme Muscles for some serious worship with my hands and mouth. I am in good shape, submissive and eager to satisfy. Pics are what I seek. Your pics will get mine..
"
chicago,"
hi guys, horny bottom guy here looking for fun tonight. into anything safe, make out, oral, bottom. 
i'm 5'11 190 pounds clean and ddf. 
don't really have a type, just be safe and sane. looking to do this tonight.
"
chicago,"
Hosting looking to give some great oral and get pounded hard. 25 bi weight 140 pounds, height 5'6, drug and disease free HIV negative.
"
chicago,"
Looking to see if there are any hot, straight, bi, or curious construction workers around that are working hard and want to swing by for some NSA head on their break or after work. 

Come over, drop your pants, I drop to my knees and work your cock until you unload in my mouth, and go. Age/race not important, just be attractive, HWP and willing to blow and go. 

If posting is up, I'm still looking.
"
chicago,"
Good looking, chill, discreet professional guy. Interested in a one time or preferably ongoing thing with a Chicago cop. Open minded and low pressure here,athletic, bi discreet.Let me know. Have pics to swap.
"
chicago,"
Hey! Any horny Bi/ver/top looking for fun? I am looking for someone comes to kiss, lick my quarter-size nipples, rim my tight hole. Then I will kiss you, lick your nipples, suck your cock real good before I let you dig your meat inside me as long as you like until you blow. I am open-minded so any race is cool as long as you look good, in shape. Not very much for a big and/or old guy so I apologize about that. I am clean and you should be too. I attach my pictures here everything you need to see so it is your turn to reply with yours. Reply only if you are serious to meet and ready to travel. No endless email, no game or I will never respond you again. Hit me if this sounds right to you
"
chicago,"
Service your feet, like to rub lick and suck on them. Just looking for large feet good body, if your above size 15 just marry me! haha. Open to more then just feet but that's always a good start! looking for today

"
chicago,"
Water Sports, kink, raunch, taboo, scat, mansmells, cheesy dicks, ski, party, raw, bondage, family, knots, fetishes, et

Cute Latino bear here. Can travel only. In the sharing mood? Lets play
"
chicago,"
Clean and safe bottom looking
For a top tonight at my place i 5""7 
175 sent picture and status for fast respond
"
